"Trust in government"
"% of population aged 15+, 2010"
"Category","Percentage of population aged 15 years or over"
"Luxembourg",82.431991967889
"Netherlands",65.5113433877622
"Australia",64.8909593422129
"Denmark",64.602223046219
"Finland",61.2718196932297
"Türkiye",61.223590350728
"Sweden",60.6439664812593
"Canada",59.4929925785477
"New Zealand",58.6588263105069
"Colombia",56.9185377123597
"Chile",51.7717150749769
"Costa Rica",48.9433512728726
"Germany",47.5817771702026
"Spain",47.3108352271474
"France",47.1044553809316
"Belgium",45.7698327808473
"Austria",44.9596284194275
"United States",43.8801537138281
"Mexico",43.65385523595
"United Kingdom",43.1892753621533
"Italy",42.1203108480707
"Ireland",38.5504756255329
"Czechia",37.0869025664037
"Slovenia",36.512723237072
"Poland",36.5084282518261
"Israel",36.2308387232031
"Slovak Rep.",35.0249314326721
"Portugal",34.5704348684393
"Korea",31.0200871801871
"Greece",29.7736137386744
"Japan",26.3836043670807
"Hungary",24.8411872746888
"Lithuania",14.5855031387402
