"Trust in government"
"% of population aged 15+, 2016"
"Category","Percentage of population aged 15 years or over"
"Switzerland",79.6158464246553
"Luxembourg",69.7576839760146
"Norway",66.7205828116485
"New Zealand",62.580009656513
"Germany",60.7294883645317
"Canada",60.2384631698873
"Türkiye",58.8452934736445
"Netherlands",56.4715577328963
"Ireland",55.0629826941482
"Sweden",53.4085499547273
"Finland",52.2949920204335
"Denmark",51.1655697784109
"Australia",48.2058229729451
"Israel",45.663554404953
"Belgium",45.6424762266606
"Czechia",44.5794042346388
"Austria",44.1459579434625
"United Kingdom",43.8132861525536
"Iceland",40.8705436288336
"Japan",40.8390531417318
"Estonia",40.0789026268138
"Slovak Rep.",36.2202943771648
"Lithuania",35.6873780002638
"Hungary",34.4460621658354
"United States",33.4640621777968
"Costa Rica",32.9011608775593
"Latvia",31.3671945330001
"Poland",31.2307304462211
"Chile",30.854943841693
"Mexico",30.3295077202208
"France",29.9476217088658
"Colombia",28.6503914197289
"Portugal",28.5314251644729
"Korea",28.1687064468247
"Italy",27.2356879658741
"Greece",27.0918391047695
"Spain",26.5428597230175
"Slovenia",21.3460891184161
